	Sentence	Predicted label	Matched rule
851	"Every time I hear of someone who allegedly had the CCPVirus, they always report that they had mild symptoms. Why? Because the ChineseVirus is the ""Virginia Slims"" of viruses. The only thing we need to fear is government overreach, greedy Big Pharma & their paid supporters"	NOT	
852	[USER] [USER] Everyone is battling except the Government. At present GOVERNMENT is like a king 🤴sleeping 😴 in the Palace under the protection of Army, without any care of its responsibility. ModiKaVaccineJumla [URL]	NOT	
853	Me and my son just had to piece 3 hoes up for calling my shorty a bitch😩😩😩my wig off and every nail bloody but I bet she cant see out that👁	HOF	['(u_1 / bitch)']
854	[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] INDEED!!! OMG!!! I find it beyond obtuse!! Humiliation bc as a white woman, sobbing, uncontrollably while watching [USER] report on IndiaCovidCrisis , how can a civilized human look away & not be brokenhearted?!? How is it some of us, in particular males, are unmoved?!? ➡	NOT	
855	"[USER] [USER] Ah yes. ""Im not an asshole when im not being a shitbag!"""	HOF	['(u_401 / asshole)']
856	cancel12thboardexams2021 Resign_PM_Modi [USER] Because of your overconfidence and ignorance hundreds of indian citizens are dying everyday and now you are ignoring lakhs of student's daily plea to cancel exam... [URL]	NOT	
857	To pimp a buttterfly [URL]	NOT	
858	The main thing I'm looking forward to post pandemic is taking huge shits at work again CovidVaccine	HOF	['(u_1 / shit)']
859	"[USER] [USER] wasn't there also the labour ""fine, if you're not gonna be as left as we want, fuck you, vote Tory, wait, you voted Tory, what?'"""	HOF	['(u_2 / fuck)']
860	[USER] [USER] Damn this monster ChineseVirus 🦠	NOT	
861	[USER] Yes absolutely correct btw that's the bloody hypocrisy 😡 ChineseVirus	NOT	
862	[USER] We the responsible citizens of India are telling you straight on face that we don't need any CentralVistaProject. Please resign yourself and don't embarrass us anymore you never were and never will be VishwaGuru ResignModi ModiMadeDisaster ModiGovtSeNaHoPayega	NOT	
863	WE GOT IT!! 😤👏 I almost fainted and threw up and I felt dizzy but I feel that way after every shot so it's not unusual 😫 CovidVaccine needlessuck imalive [URL]	NOT	
864	Fuck you asshole!!! [URL]	HOF	['(u_2 / fuck)']
865	[USER] [USER] [USER] In Bengaluru a physician's consultation will cost Min 200[CUR]. Can't we pay that for Vaccine!! Stop this politics over vaccine. whoisdemandingfreevaccine VaccineFor18Plus VaccineForAll IndiaCovidCrisis	NOT	
866	Heartbreaking. 💔 IndiaCovidCrisis [URL]	NOT	
867	[USER] This is a global pandemic and what's happening in India is devastating... Everyone should be helping each other to rid this outbreak... IndiaCovidCrisis	NOT	
868	stop acting like a posh bitch and sing with you girl you stupid deityyyyyyyyyyy	HOF	['(u_1 / bitch)']
869	[USER] The bjp gov have absolutely turned blind and is doing nothing for the common man. Would at least expect some sort of relief from your org in terms of a moratorium. Pls help the common man [USER] COVID19 ResignPMmodi	NOT	
870	Sucked a dick so sloppy last night I had snot coming outta my nose and still didnt stop 😂 three cheers for super sloppy head	HOF	['(u_1 / dick)']
871	CruelMamata I am feeling ashamed on myself If Bjp can not protect their party workers after having more than 300 seats. What's the point of having more than 300 seats all the leaders of Bjp should remember that a party is run by it's worker BengalBurning TMCTerror	NOT	
872	[USER] [USER] [USER] [USER] You guys are so pathetic.. 😂 Then tf NITI Ayog gives Kerala high ratings? Resign_PM_Modi [URL] [URL]	NOT	
873	Who ever thinks that Covid is the thing killing people in India is not a logic person. I personally suspect that ITS NOT TRUE. Theres so much about these india 'covid' infections & deaths that we are not being told. The inside info on this is scary.. TheTruth IndiaCovidCrisis	HOF	['(u_1 / kill :ARG1 (u_2 / person))']
874	cancel12thboardexams2021 Resign_PM_Modi [USER] Because of your overconfidence and ignorance hundreds of indian citizens are dying everyday and now you are ignoring lakhs of student's daily plea to cancel exam...cancel12thboardexams2021	NOT	
875	[USER] [USER] Here's what I'll do, I'll trust the player who's telling the whole world that he's back meaning feeling good and healthy again. No player show boats like that unless they are 100% ready for the smoke. Quit the puss	NOT	
876	sorry never mind fucking crying carlo can koff fuckin shitbag he committed to blues said he was gonna take us new stadium told a pack of lies fuckoff lad	HOF	['(u_2 / fuck)']
877	ResignPMmodi Please do it ASAP, you are the most incompetent leader. Nobody trust you anymore, not even your andhbhakts. [URL]	NOT	
878	hmmm how to piss off that person [URL]	HOF	['(u_1 / pissHYPHENoff)']
879	Me graduated fucker [URL]	NOT	
880	"So bitch [USER] did you send your 20 Pages with bloody tears on every sheet apology to YH after getting him and his gp dragged bc you cana[CUR]™t read or are u acting as if nothing happened?dY™"""	NOT	
881	Of all options open to Government this is the worst. Auspol IndiaCovidCrisis	NOT	
882	[USER] [USER] Oh haha made me look a right twat, my bad	NOT	
883	[USER] [USER] [USER] [USER] How many more do we need? I'd have thought hooker would have been more of a priority.	NOT	
884	bouta say bloody Mary 3 times in the mirror just so i got a bitch to talk to	HOF	['(u_1 / bitch)']
885	[USER] in center and [USER] in state seem to only care about their elections and their power. So called pandemic and people are not priority. We elected them, how terrible are we? Complete breakdown. IndiaCovidCrisis IndiaChoked Telangana KCR	NOT	
886	[USER] [USER] That's an interesting article! However it still could be a USO like the one they found (?) at Shag Harbor. There are lots of stories of unexplained lights under the sea that are very intriguing! (Can you tell I'm rooting for USO's??)😏	NOT	
887	When authorities do not give a shit about the suffering... I am outraged... IndianLivesMatter IndiaCovidCrisis [URL]	HOF	['(u_1 / shit)']
888	[USER] [USER] [USER] [USER] [USER] with these speed in no time indians will be reduced to 50% strength of population and its a shame for us indians bcoz govt.doesnt have any 😷🙏ResignModi	NOT	
889	What the hell,,,,,, COVID19 CovidVaccine COVIDEmergency2021 Corona Corona2ndWave [URL]	NOT	
890	Need an air con in this fucking house peeling my bollocks off my leg every 5 mins	HOF	['(u_1132 / fucking)']
891	[USER] [USER] [USER] [USER] [USER] Shame on you! Don't you know [USER] 's father ran away when he was born because he couldn't bear the sight of his son's donkey face? How dare you mock him!	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
892	Cuz I know that kind of person,. .🤮.. (if we should talk of him in these terms) Doesn't have what a man has to have between his legs I know for sure that he won't do nothing..... Because if I want to confront me, I live at San Pascual 206 Did you hear me motherfucker???🤬🤬🤬🤬 [URL]	NOT	
893	[USER] Shame on people who are still supporting her... including Manorama. keeping MUM ArrestMamata BengalBurning BengalViolence [URL]	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
894	Get the damn shot CovidVaccine [URL]	NOT	
895	Had my 2nd CovidVaccine yesterday whilst on dialysis on my Birthday. Today I feel awful, my limbs ache like when you have flu, have really bad nausea & my normally low BloodPressure is at rock bottom. I have to go to dialysis again today & I feel like death warmed up. [URL]	NOT	
896	A major battle over free speech on social media is playing out in India during the pandemic- The Indian government is silencing its critics on Twitter and Facebook. COVID19India IndiaCovidCrisis CoronaPandemic [URL]	NOT	
897	[USER] You bastard Fucking chinese chinki. Shame on you. You are responsible for this chinese virus from Wuhan [USER] [USER] China chineseVirus [USER] [USER] [USER] [URL]	HOF	['(u_1132 / fucking)']
898	I m a student but I really am desperate to help & contribute ma bit in IndiaCovidCrisis Someone tell me what can I do ..I can't see ppl in such agony	NOT	
899	Once a wise man had said..I didnt agree with him back then but........ result is before us ResignModi Resign_PM_Modi [URL]	NOT	
900	This is nothing.... but the pathetic situation of India. This shows the failure of govt. Just imagine the situation of doctors... day by day thousands of deadbodies passing infront of them... can't do anything.. IndiaCovidCrisis failuremodigovt [URL]	NOT	
901	[USER] Make me wanker.	HOF	['(u_1 / wank)']
902	Just had second CovidVaccine. Only side effect I'm worried about is the expectation that I may want to go back outside again 😬	NOT	
903	We will never forget you Dr_ShahabuddinShahab, we will also not forget you destroy your life for [USER] and his party [USER]! But [USER] failed to help your son, while he was busy to Congrats Mamta! JusticeForShahabuddin BoycottRJD [URL]	NOT	
904	[USER] Elections are not important. Only the ChineseVirus is And news channels now announcement will not do counting shows tomorrow. How stupid can people get	NOT	
905	Sorry to say those who trending ModiKaVaccineJumla apni shakal mat dikhana vaccine lete huye - live and die with your ideologies let common people like live our life well	NOT	
906	"GCN Magazine (2013): ""Danielle is quiet at the best of times, but is first off the mark when I ask them about girl-crushes. 'Penelope Cruz', she blurts, 'She's so fucking hot. When I saw her in Vicky Cristina Barcelona... damn!'"""	NOT	
907	People are dying in india and central government is planning for central vista ?? Really do not know how human can think about it ? Shame !! ResignModi Resign_PM_Modi ModiResign ModiResignOrRepeal ModiMadeDisaster	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
908	[USER] ooo I want to be fuck you	HOF	['(u_2 / fuck)']
909	[USER] Media whore at it again	HOF	['(u_764 / whore)']
910	[USER] i think he blocked me but yes it is mikemop fuck you mike	HOF	['(u_2 / fuck)']
911	The worst politician ever seen in my life.ModiHataoDeshBachao ResignModi [URL]	NOT	
912	[USER] some dick	HOF	['(u_1 / dick)']
913	[USER] Human Being harshly criticized USA as the most selfish country , has no respect to human right... hoarding vaccines. Disregard SERUM CEO appeal refused to lift vaccine raw material export to India for weeks IndiaCovidCrisis	NOT	
914	PM Modi is a liability for India and the World. Modi shames India. ModiMadeDisaster ModiGovtSeNaHoPayega ResignModi The world came forward to help India and they want to know what Modi did with the aid. [URL]	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
915	[USER] Indian voters : Just shut the mouth seeing climax of modi ji movie. ResignModi	NOT	
916	[USER] Cor wherea[CUR]™s all this coming from? I thought we were pals, you enable my bollocks, I talk bollocks, ita[CUR]™s a good system. Now Ia[CUR]™m being victimised for my chippy choices like a leper whoa[CUR]™s nose is gonna drop into the gravy on the pier.	NOT	
917	The way I see it is if youa[CUR]™re being a dick then yeah apologize. Other then that, yeah they can go fuck themselves lol.	HOF	['(u_2 / fuck)']
918	hit like shit this weekend😒😂 [URL]	HOF	['(u_1 / shit)']
919	[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Nothing cums to mind. All the blood from brain rushed towards my dick after seeing this	HOF	['(u_1 / dick)']
920	[USER] [USER] Hate this snarky fuck so much	HOF	['(u_2 / fuck)']
921	[USER] [USER] [USER] It's heartbreaking to see Osama struggling alone for the judicial killing of his father. A boy whose father sacrificed everything for strongest political party of Bihar yet no one standing beside him. Shahabuddin	HOF	['(u_1 / kill :ARG1 (u_2 / person))']
922	ResignPMmodi ResignBSY ResignSudhakar The worst government in which we people of Karnataka are suffering	NOT	
923	Gah damn bills due again 😭. Ia[CUR]™m sick of this shit.	HOF	['(u_1 / shit)']
924	[USER] Hea[CUR]™s the personification of Twat. Thata[CUR]™s not erudite but then again, neither is he	NOT	
925	[USER] [USER] [USER] [USER] [USER] [USER] [USER] is just doing a drama over the death and failure of GOI and GOK when congress started job that's when [USER] woke up shame on unfit MP ResignModi Resign	NOT	
926	Samsung what the fuck have you created [URL]	HOF	['(u_2 / fuck)']
927	im a whore creo	HOF	['(u_764 / whore)']
928	Feeling so helpless and frustrated today. Tried calling numerous phone numbers in Bangalore for a VentilatorBed but I failed. Stay strong Bangalore IndiaCovidCrisis	NOT	
929	It's a shame that the SupremeCourt has to tell what is sensible in this country. CentralVista ResignModi [URL]	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
930	The vaccination drive by Modi govt. is a massive failure!!! Modi failed the country!!! ModiKaVaccineJumla Resign_PM_Modi	NOT	
931	IPL and ExitPolls are just to divert the failures of BJP government . And the carelessness and uselessness of India's shameless PM Modi . ModiMustResign ModiKaVaccineJumla	NOT	
932	Failed Prime Minister india ever seen 👀 ExitModi ResignModi Resign_PM_Modi	NOT	
933	[USER] 8: ita[CUR]™s like that 14: Venice bitch 21: ribs 4: Damn..... Bloody Mary??	HOF	['(u_1 / bitch)']
934	CruelMamata Off course mamata's police will take action against victims only..... because goons belong to her own party .... media should be ashamed for hiding the genocide of people in Bengal by TMC goons BengalBurning PresidentsRuleinBengal	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
935	"Give him a fucking vaccine and send his ass the fuck back to jail! No more ""get out of jail because of Covid cards"" And you can put that fucking [USER] back in jail too CovidVaccine [URL]"	HOF	['(u_1132 / fucking)']
936	Go take a shower you smelly fuck [URL] [URL]	HOF	['(u_2 / fuck)']
937	[USER] [USER] [USER] Lmfaooo how you let somebody drag you and punch you in the head then let them fuck you in the ass 😭😭dY~© at least be the one giving dick omg	HOF	['(u_2 / fuck)']
938	[USER] Would shag you tbh	NOT	
939	No hindu is perfect, no muslim is perfect nor anybody else is perfect. But .. the worst are those who're finding imperfections in each others. Protect your peace, people . MentalHealthMatters Islamophobia Hinduism	NOT	
940	What the heck the bjp is doing... destroying people life? ResignPMmodi BjpDestroyedIndia BJP prayaraj	NOT	
941	So Indian PM Modi's press secretary blames Fake News for the catastrophe....I have always compared Modi to Trump,as have many others. IndiaCovidCrisis	NOT	
942	Ah yes, Young people! I knew it was the young people who were to blame. Damn young people and their youth!!!!! [URL]	NOT	
943	[USER] So sad & Dhadhaji, Thousands are suffering from COVIDSecondWave COVID19 because of you and our Govt mismannagement Resign_PM_Modi ResignModi ModiHataoDeshBachao ModiResign ModiMustResign ModiMadeDisaster	NOT	
944	BengalBurning BengalViolence TMC & state police will say these are fake...... 😕😕😕 [URL]	NOT	
945	/ techno neg how about instead of donating to an asshole who is brushing off hurt miniorities you donate to the Trevor Project or an LGBTQIA+ streamer 👍	HOF	['(u_401 / asshole)']
946	[USER] [USER] Now your head is full of twat jokes and bass licks. [URL]	NOT	
947	What the hell is happening in the country? Where's the PM and why is the CM for Delhi? It's better that PM should immediately resign. ResignPMmodi [URL]	NOT	
948	Delhi HC Asks Centre Why it Should Not Face Contempt for Failing to Supply Oxygen to Delhi as Ordered. Judiciary warning. People suffering. Electrol defeat. Miss handling of pandemic. Economy slow down. 20M corona caees. Resign_PM_Modi [URL] via [USER]	NOT	
949	Um...folks...being allergic to penicillin is *NOT* a reason to not get vaccinated. 🤦🏻‍♂️ yesreally I'm deathly, anaphylactically allergic to PCN, and was fine after my vaccine shots. CovidVaccine GetVaccinated	NOT	
950	[USER] Facts ?? What is the source of these so called facts? MODIJI ? I can edit and make new facts like that. Have some shame, spreading lies amongst Indians. ResignModi	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
951	[USER] Go a$?®odii go. We as a nation can't expect to hv an irresponsible leadership. Ur a complete lie & nation can't prosper under u. Ur Thorne sits on pile of bodies of those who trusted u. Shameless [USER] ResignPMmodi AmitShah R	HOF	['(u_1 / shameless)']
952	bitch i'm worth more	HOF	['(u_1 / bitch)']
953	BJP is biggest disaster for India bt since it hs Majority Nitin Gadkari is d right option for PM nw Modi hs been inefficient. SpinelessModi ResignModi Resign_PM_Modi	NOT	
954	ia[CUR]™m abt to start my period thats why ia[CUR]™ve been so horny smh dY~© i need some dick b4 i start ngl 🥴😂	HOF	['(u_1 / dick)']
955	Make Sonu Sood Sir education minister . Ramesh Pokhriyal is always against the youth and doesn't care about the lives of studnets cancel12thboardexams2021 SonuSoodRealHero Resign_PM_Modi Dontignore12students DONOTIGNORE12THSTUDENTS	NOT	
956	[USER] [USER] [USER] [USER] [USER] where are you all. When Bengal is burning you all are quiet. Shame on you all. BengalBurning BengalViolance	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
957	[USER] Wanker [URL]	NOT	
958	[USER] I would luv to lick & suck u from head to toe & put this dick on u & in u	HOF	['(u_1 / dick)']
959	Got my second dose today. Pretty slow and long process took 3 hours. Could be more efficient. Was able to download the certificate as well. But disappointed to see one man's face even on that vaccinated Chennai CovidVaccine	NOT	
960	Upto 2023 there have two more waves come affected by whole country 🙄😒🥺😢💔 No way we have to struggle and survive to live in these waves of Covid 👍 COVID19India COVIDSecondWaveInIndia IndiaCovidCrisis CoronaPandemic [URL]	NOT	
961	Pussy grows on trees .	NOT	
962	[USER] [USER] [USER] It's your party .. why you tweeting. Ask your leaders why they're letting innocent people for dying.. didn't you guys learn a single thing from Delhi riots.. Shameful BJP can't save their voters then they should quit politics ResignModi	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
963	She Challenged me I Can't get 500 Followers tonight on Twitter, if i got she'll commit Breakup 💔 Come on guys Help me to Complete her Wish 🙏🏼 IndiaCovidCrisis KanganaRanaut	NOT	
964	My heart breaks for India ...Just unbelievable IndiaCovidCrisis	NOT	
965	[USER] [USER] I'm just fed up with your willingness to became a new Gandhi ...sir sorry to say that you disappointed us...Not a single tweet to condemned BengalViolence and in solidarity of our BJPKaryakartas ...wake up .. BengalBurning	NOT	
966	Some guy has just walked over to my car while I'm sat at traffic lights asked me to suck his dick, called me a slag then spat on my windscreen as I rolled my window up lmfao what in the crack head	HOF	['(u_1 / dick)']
967	"Now, the ""poorly paid, but professional, criminals"" i.e. ""gutter worms"" from BJP IT Cell - which is India's No. 1 FakeNews factory - have got another picture to trend by using these following hashtags: BengalBurning BengalViolence ShameOnMamata ArrestMamata [URL]"	NOT	
968	"""don't wear makeup"" bitch i will peg u"	HOF	['(u_1 / bitch)']
969	you should send a stranger some cash for no reason other that what they look like and who they fuck	HOF	['(u_2 / fuck)']
970	DeleteFacebook is trending in times of Chinesevirus. How cruel is that.	NOT	
971	[USER] [USER] [USER] [USER] [USER] [USER] Eh😂 fuck you talking about lmao only replying as I find it hilarious you can talk about how I look but have Trent as your dp😭 must be some fuck ugly cunt you	HOF	['(u_2 / fuck)']
972	Whoever was the first person to design a bathroom with the light switch on the other side of the door was a real asshole.	HOF	['(u_401 / asshole)']
973	People from the place where ChineseVirus originated are celebrating w/o masks(seems like nothing happened there ever) and here in India people are running from pillar to post for ICU beds, oxygen etc.They have forgotten tht KARMA ia bitch. They will hv to pay heavily for this.😑 [URL]	HOF	['(u_1 / bitch)']
974	[USER] [USER] People are crying because of Mr Modi , it's because of Modi that people are loosing their loved ones , international media and international experts believe he is responsible for all this , Shame on people who support such petty p	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
975	No, you're not. Revoke pharma's CovidVaccine copyrights. IndiaCovidCrisis [URL]	NOT	
976	"""We need a govt. Desperately. And we don't have one. We are running out of air.We are dying. We don't have systems in place to know what to do. So please go. It is the most responsible thing for you to do. You have forfeited the moral right to be our PM""-Arundhati Roy ResignModi"	NOT	
977	[USER] Again cheap game by BJP it cell, sharing old unrelated videos and Hindu Muslim game. Shame on you. ResignModi I have reported this tweet, everyone do yours.	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
978	On the day when Indians and many others realise that [USER] is no philanthropist as he denies India access to CovidVaccine tech, I am sharing a piece I wrote a decade ago, against bestowing greatness on another idol of Western Capitalism - SteveJobs [URL]	NOT	
979	Every day brings a doom. Why the hell do we have such incompetent morons at the helm? ResignModi VoteThemOut2022 VoteThemOut2024 IndianLivesMatter indianeedoxygen VaccineForAll [URL]	NOT	
980	[USER] i like the way he's drawn in the manga much better i'm aware they needed to do some cleaning but they didn't have to chop off his legs ykno... this is just me being a whore tho [URL]	HOF	['(u_764 / whore)']
981	im such an impatient bitch when im hungry, i rly do feel bad for those subjected to me in this state like i can really hurt some feelings without even meaning to	HOF	['(u_1 / bitch)']
982	Why WHO is not taking action against China. China desperately spread the virus. No second wave and death toll in China. Everyone gets proper treatment, they are no disclosing the treatment. chinesevirus ChinaLiedPeopleDied China_is_terrorist WorldChineseOrganisation	HOF	['(u_1 / act :prepagainst (u_2 / country))']
983	Just letting him rest there for a moment while splaying his hands on ZZSs hips to feel every minute twitch. Then he starts to move his head, up and down, slowly and teasingly. He circles his tongue around the soft head of ZZSs dick and the other moans above him.	HOF	['(u_1 / dick)']
984	[USER] Even in pandemics, shameless vultures..... nothing except Islamophobia	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
985	[USER] waiting for a motherfucker to swipe that shit right off his head 😭😭	HOF	['(u_859 / motherfucker)']
986	Shame on you [USER] and on ur governence. You and [USER] let India down infront of a small nation New Zealand. [USER] seeked help from a silly opposition [USER] which is wing of [USER] . NewZealand ResignPMmodi [URL]	NOT	
987	[USER] If u are concerned about the rising WuhanVirus related cases and deaths, I understand your concern. But the things is, the virus is an invisible enemy and no amount of preparation would be enough to tackle this unknown enemy which mutates into more dangerous forms as days pass	NOT	
988	[USER] [USER] [USER] Those who invented the WuhanVirus ,helped it to spread across the world and killed millions of people shouldn't talk about it.We know your country also suffered a lot.The difference is Your country is a autocracy where every data is hidden and ours is a democracy...	HOF	['(u_1 / kill :ARG1 (u_2 / person))']
989	[USER] [USER] [USER] Yes please don't call ChineseVirus. India strain is OK, England strain is OK, but not ChineseVirus. Stop calling it ChineseVirus. And don't trend ChineseVirus. It's racial to call it ChineseVirus.	NOT	
990	[USER] I had one the other day, thought I was in Jurassic Park. Emptied a full can of wasp spray on it, fucker still fought for 5 mins.	HOF	['(u_1 / fucker)']
991	[USER] Neither can you be allowed to do vulture journalism. So insensitive, feeding over someone's grief. Please do constructive criticism and reporting. Please don't run a pre-conceived narrative. IndiaCovidCrisis VultureJournalism Indiawillovercome	NOT	
992	Ooooo this bitch got 4 kids at 24	HOF	['(u_1 / bitch)']
993	[USER] [USER] [USER] [USER] U see ur level of understanding? Smh.Come to think of it,,I even DOWNGRADED myself to engage with a sanitary pad as you, pussy-licking a public toilet and defending her for 1STLY lettin her brothe	NOT	
994	[USER] [USER] Don't ask why I said that just came on my head Adam=rides vivder dick my dad=me made that	NOT	
995	"Y'all testing my patience eh? I'm damn shut up now. Don't dare me to say such things then after that you'll call me ""bastos""? Wtf was that eh? HAHAHAHAHA fuck that mindset. Let me do the things I want 'cause those are my fucking peace of mind. That's my rest."	HOF	['(u_1132 / fucking)']
996	"inb4 you snap back at me for ""bootlicking jacob"" or something similar. i'm not coming at you because you shat on jacob. i'm coming at you because you're being a cunt. there are better ways to vent your anger and frustration."	NOT	
997	Govt should relook and cutoff it's unnecessary expenses. For instance, new parliament building and any religious structures! Get it all for basic needs of people, we need nothing other than that. toughtimes COVIDEmergency IndiaCovidCrisis StayHomeStaySafe	NOT	
998	Resign_PM_Modi ResignModi resign u shameless men..and only shameless PM in this world	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
999	Shame on you Modi. Our CovidWarriors are giving up. IndiaCovidCrisis Resign_PM_Modi ResignModi [URL]	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
1000	[USER] get the fuck down from your post. ModiResign ModiKaVaccineJumla ModiHataoDeshBachao Modiwave ModiGovtSeNaHoPayega [URL]	HOF	['(u_2 / fuck)']
1001	I saw this sign in IKEA today. Any person like me, who suffers from Fibromyalgia will tell you that this is utter bollocks 🤣 [URL]	NOT	
1002	Modiji is so tired.. Needs permanent rest? ModiKaVaccineJumla	NOT	
1003	India is in crisis. We have to help any way possible. IndiaCovidCrisis Covid [URL]	NOT	
1004	"I don't agree with ""If not Modi then who? 'Rahul Gandhi' "" trending because... RG is 1000 times better than Modi and RG is Not alternative but one and only option we have... Resign_PM_Modi"	NOT	
1005	Every little thing is pissing me off today >:( Whadda heck goin the fuck on?	HOF	['(u_2 / fuck)']
1006	'We are witnessing a crime against humanity': Arundhati Roy on India's Covid catastrophe IndiaCovidCrisis It's hard to convey the full depth and range of the trauma, the chaos and the indignity. Meanwhile, Modi is telling us not to complain [URL]	NOT	
1007	[USER] I fail to see why this is bothering you personally enough to the point that you have to make a post about it. Who gives a fuck what everyone else does? Let people celebrate someonea[CUR]™s birthday instead of being a stuck up douchebag	HOF	['(u_2 / fuck)']
1008	Son of a bitch [URL]	HOF	['(u_1 / bitch)']
1009	These bloody half baked Chinese messing up everything... After wuhanvirus from Wuhan Virus lab, now space debris !! [URL]	NOT	
1010	This is horrible!!!! India today has crossed the dreaded 4,000 deaths per day and 400,000+ cases per day threshold! Just a couple of days back I was saying that it's likely this grim milestone would be reached soon and today it happened! So sad!...IndiaCovidCrisis [URL] [URL]	NOT	
1011	[USER] India needs a Neta not a fuckin Abhineta.ResignModi resign_PM_Modi	HOF	['(u_1132 / fucking)']
1012	am i an asshole for getting annoyed at people that bother me when i walk my dog LOL. like ok, he is cute, but fuckin a i wanna have a nice walk, not stand there and let you pet him for 5 minutes. leave me alone pls	HOF	['(u_2 / fuck)']
1013	"Dr Dre voice: ""Motherfucker I'm gay!"" Pride2021"	HOF	['(u_859 / motherfucker)']
1014	[USER] [USER] Get a hooker	NOT	
1015	Locky you so wrapped up in wanna shag Dr HOTNESS you forgot your Job Title and Role? llol HolbyCity	NOT	
1016	Modi is unable to handle covid situation, oxygen shortage, remdisiver shortage, vaccine shortage, increasing cases, increasing no. of deaths he shud b ashamed he shud apologize to nation and resign spinelessmodi ResignModi Resign_PM_Modi Shameless	NOT	
1017	I got the first dose of my moderna CovidVaccine today and [USER] hasn't whispered a single thing into my ear. So disappointed. Should have got pfizer.	NOT	
1018	[USER] [USER] IndiaCovidCrisis India dY++® Spent [CUR]Billions on Nuclear ☢ Weapons. But cana[CUR]™t build a 1800a[CUR]™s Oxygen Electrolysis plant. Karma	NOT	
1019	Not this teacher again slimy bitch	HOF	['(u_1 / bitch)']
1020	It is quite unfortunate to learn from one in every other family getting affected and loosing their dear ones to covid. COVID19India IndiaCovidCrisis Let's help each other as much as we can and FightAgainstCOVID19 collectively towards normalcy. StaySafe	NOT	
1021	[USER] [USER] that doesnt even make sense how about [URL]	NOT	
1022	im online for some naughty fun - sexy slut whiteGirl pussy anal [URL]	NOT	
1023	[USER] [USER] Oho.. Double engine. Why central govt is coming in middle of the state's O2 usage. Yesterday's incident, is due to irresponsibility of modi. He is the murderer. sackhim ResignPMmodi	NOT	
1024	"Oh dear FEKU [USER] [USER], NOT even the PM of New Zealand and Canada trusts your ""FAKE PM CARES FUND"". You are a disgrace. The pattern in Delhi riots is same as in West Bengal. You cana[CUR]™t accept defeat. ResignModi"	NOT	
1025	[USER] whole world is suffering from bloody ChineseVirus	NOT	
1026	[URL] India is struggling with COVID. Not sure if we can get over this. The videos from hospitals are horrifying. Please help in any way you can. IndiaCovidCrisis IndiaNeedsOxygen CovidSOS Unite2FightCorona	NOT	
1027	The situation in West Bengal is frightening. All these barbaric acts being ignored just because they belong to a certain political party, is even more horrifying.Hope we restore humanity at the earliest instead of all the fake propoganda. [USER] BengalBurning ShameOnMamata	NOT	
1028	[USER] Set up proper quarantine facilities far from the city and bring all Australians home to isolate for 21 days to be safe. Staff need to isolate on return from shifts. We can't keep using inadequate facilities in high density areas, it's pure madness IndiaCovidCrisis	NOT	
1029	[USER] Son of a bitch	HOF	['(u_1 / bitch)']
1030	[USER] PM [USER] has Failed in COVID Battle and he should Resign. ResignPMmodi Disclaimer : I don't Support Congress	NOT	
